 N  ;       identifier        ;  coord1 (ICRS,J2000/2000)   ; coord2 (ICRS,J2000/2000)  ;Mag V 
249 ;* 61 Vir                 ;13 18 24.31427 -18 18 40.3047;199.60130946 -18.31119576  ; 4.740
250 ;* nu. Aqr                ;21 09 35.64888 -11 22 18.0851;317.39853701 -11.37169030  ; 4.52 
251 ;* nu.03 CMa              ;06 37 53.42144 -18 14 14.9218;099.47258932 -18.23747828  ; 4.42 
252 ;* eta Aql                ;19 52 28.36775 +01 00 20.3696;298.11819895 +01.00565823  ; 3.80 
253 ;* 20 Cet                 ;00 53 00.49452 -01 08 39.3317;013.25206051 -01.14425880  ; 4.76 
254 ;* 46 Cet                 ;01 25 37.23517 -14 35 55.6670;021.40514653 -14.59879638  ; 4.918
255 ;HD 66141                 ;08 02 15.93659 +02 20 04.4522;120.56640246 +02.33457005  ; 4.38 
256 ;* gam Hya                ;13 18 55.29719 -23 10 17.4514;199.73040494 -23.17151428  ; 3.00 
257 ;* tau PsA                ;22 10 08.78048 -32 32 54.2687;332.53658532 -32.54840799  ; 4.92 
258 ;* alf Aql                ;19 50 46.99855 +08 52 05.9563;297.69582730 +08.86832120  ; 0.76 
259 ;* lam Sgr                ;18 27 58.24072 -25 25 18.1146;276.99266967 -25.42169850  ; 2.81 
260 ;* del Ser B              ;15 34 48.142 +10 32 19.04    ;233.700592 +10.538622      ; 3.80 
261 ;* 60 Her                 ;17 05 22.69021 +12 44 26.9696;256.34454255 +12.74082488  ; 4.882
262 ;* bet Tri                ;02 09 32.62712 +34 59 14.2694;032.38594634 +34.98729706  ; 3.00 
263 ;* eta Eri                ;02 56 25.64948 -08 53 53.3221;044.10687285 -08.89814503  ; 3.87 
264 ;* alf Sex                ;10 07 56.287 -00 22 17.95    ;151.984529 -00.371653      ; 4.49 
265 ;* iot Lep                ;05 12 17.90190 -11 52 09.1863;078.07459127 -11.86921841  ; 4.45 
266 ;* gam Her                ;16 21 55.21440 +19 09 11.2618;245.48006002 +19.15312827  ; 3.76 
267 ;* mu. CMa                ;06 56 06.64589 -14 02 36.3520;104.02769123 -14.04343111  ; 5.00 
268 ;* ksi Peg                ;22 46 41.58118 +12 10 22.3854;341.67325490 +12.17288485  ; 4.20 
269 ;* alf Scl                ;00 58 36.35930 -29 21 26.8247;014.65149710 -29.35745131  ; 4.27 
270 ;* 32 Ori                 ;05 30 47.05091 +05 56 53.2925;082.69604545 +05.94813679  ; 4.20 
271 ;* 66 Oph                 ;18 00 15.79825 +04 22 07.0163;270.06582603 +04.36861564  ; 4.60 
272 ;IC 4665                  ;17 46 18.0 +05 43 00         ;266.5750 +05.7167          ; 4.2  
273 ;* mu. Sgr                ;18 13 45.80884 -21 03 31.7941;273.44087017 -21.05883169  ; 3.85 
274 ;* ups Psc                ;01 19 27.99289 +27 15 50.6155;019.86663703 +27.26405987  ; 4.752
275 ;* pi.04 Ori              ;04 51 12.36472 +05 36 18.3723;072.80151967 +05.60510342  ; 3.680
276 ;* eta And                ;00 57 12.40018 +23 25 03.5356;014.30166743 +23.41764878  ; 4.42 
277 ;* ups Tau                ;04 26 18.46368 +22 48 48.8885;066.57693198 +22.81358014  ; 4.293
278 ;* tet Hya                ;09 14 21.86007 +02 18 51.3432;138.59108361 +02.31426199  ; 3.88 
279 ;* 7 Com                  ;12 16 20.53831 +23 56 43.4700;184.08557629 +23.94540833  ; 4.86 
280 ;* 55 Peg                 ;23 07 00.25965 +09 24 34.1703;346.75108186 +09.40949174  ; 4.520
281 ;* 20 Mon                 ;07 10 13.68165 -04 14 13.5861;107.55700687 -04.23710724  ; 4.92 
282 ;* mu. Cet                ;02 44 56.54098 +10 06 50.9089;041.23558742 +10.11414136  ; 4.20 
283 ;V* del Ser               ;15 34 48.14 +10 32 20.7      ;233.70058 +10.53908        ; 3.80 
284 ;* eps Boo                ;14 44 59.21746 +27 04 27.2099;221.24673940 +27.07422497  ; 2.39 
285 ;* 41 Com                 ;13 07 10.73003 +27 37 29.0585;196.79470844 +27.62473847  ; 4.69 
286 ;* psi02 Ori              ;05 26 50.22929 +03 05 44.4203;081.70928871 +03.09567231  ; 4.595
287 ;* kap Lep                ;05 13 13.87761 -12 56 28.6463;078.30782337 -12.94129064  ; 4.421
288 ;* 110 Vir                ;15 02 54.03796 +02 05 28.6944;225.72515818 +02.09130400  ; 4.40 
289 ;* pi. Aqr                ;22 25 16.62285 +01 22 38.6346;336.31926188 +01.37739850  ; 4.64 
290 ;TYC 6436-2246-1          ;02 33 50.710 -28 13 56.44    ;038.461292 -28.232344      ; 4.96 
291 ;* c Oph                  ;17 31 24.95413 -23 57 45.5136;262.85397556 -23.96264266  ; 4.81 
292 ;* d Sgr                  ;19 17 38.07940 -18 57 10.4680;289.40866415 -18.95290777  ; 4.889
293 ;Cl Blanco 1              ;00 04 07.0 -29 50 00         ;001.0292 -29.8333          ; 4.5  
294 ;V* V983 Cen              ;13 51 49.60136 -32 59 38.7067;207.95667234 -32.99408521  ; 4.53 
295 ;* eta Sct                ;18 57 03.66968 -05 50 46.7216;284.26529034 -05.84631157  ; 4.826
296 ;HR 6842                  ;18 18 03.19136 -27 02 33.5149;274.51329734 -27.04264302  ; 4.662
297 ;* ksi01 CMa              ;06 31 51.36636 -23 25 06.3181;097.96402649 -23.41842169  ; 4.33 
298 ;* 15 Vul                 ;20 01 06.04846 +27 45 12.8639;300.27520192 +27.75357330  ; 4.663
299 ;* 1 Pup                  ;07 43 32.38658 -28 24 39.1832;115.88494408 -28.41088421  ; 4.59 
300 ;* pi. Ser                ;16 02 17.69166 +22 48 16.0302;240.57371524 +22.80445284  ; 4.817
301 ;* eta Scl                ;00 27 55.69870 -33 00 25.7977;006.98207790 -33.00716603  ; 4.81 
302 ;* a Hya                  ;08 40 01.47135 -12 28 31.3411;130.00613061 -12.47537253  ; 4.987
303 ;NGC 6530                 ;18 04 31.0 -24 21 30         ;271.1292 -24.3583          ; 4.6  
304 ;* nu. Gem                ;06 28 57.78613 +20 12 43.6856;097.24077556 +20.21213490  ; 4.14 
305 ;* del Crt                ;11 19 20.44756 -14 46 42.7413;169.83519818 -14.77853925  ; 3.56 
306 ;* sig02 Tau              ;04 39 16.50230 +15 55 04.7029;069.81875960 +15.91797304  ; 4.675
307 ;* lam Gem                ;07 18 05.57977 +16 32 25.3905;109.52324905 +16.54038626  ; 3.581
308 ;* zet Aqr                ;22 28 49.90685 -00 01 11.7942;337.20794520 -00.01994285  ; 3.65 
309 ;* lam Cet                ;02 59 42.89987 +08 54 26.4899;044.92874947 +08.90735830  ; 4.70 
310 ;* 17 Lep                 ;06 04 59.12909 -16 29 03.9700;091.24637120 -16.48443612  ; 4.93 
311 ;* k01 Pup                ;07 38 49.380 -26 48 06.49    ;114.705750 -26.801803      ; 4.50 
312 ;* phi Psc                ;01 13 44.94635 +24 35 01.3590;018.43727646 +24.58371082  ; 4.66 
313 ;* ome Sco                ;16 06 48.42692 -20 40 09.0902;241.70177884 -20.66919173  ; 3.97 
314 ;* 52 Cyg                 ;20 45 39.75304 +30 43 10.9756;311.41563767 +30.71971544  ; 4.23 
315 ;* ups Peg                ;23 25 22.78350 +23 24 14.7606;351.34493127 +23.40410016  ; 4.40 
316 ;* zet Her                ;16 41 17.16104 +31 36 09.7873;250.32150433 +31.60271870  ; 2.800
317 ;CoRoT 110778159          ;06 54 07.4 -03 06 09         ;103.5310 -03.1026          ; 0.000
318 ;* iot Cet                ;00 19 25.67416 -08 49 26.1111;004.85697568 -08.82391974  ; 3.55 
319 ;* 13 Vul A               ;19 53 27.694 +24 04 46.57    ;298.365392 +24.079603      ; 4.642
320 ;* chi02 Ori              ;06 03 55.18482 +20 08 18.4316;090.97993675 +20.13845324  ; 4.63 
321 ;* eps Oph                ;16 18 19.28974 -04 41 33.0345;244.58037393 -04.69250958  ; 3.23 
322 ;* 106 Her                ;18 20 17.91480 +21 57 40.6656;275.07464502 +21.96129601  ; 4.96 
323 ;* zet Hya                ;08 55 23.62614 +05 56 44.0354;133.84844223 +05.94556539  ; 3.10 
324 ;* b Ori                  ;05 42 28.63276 +01 28 28.6656;085.61930317 +01.47462933  ; 4.90 
325 ;* 71 Oph                 ;18 07 18.35921 +08 44 01.9156;271.82649670 +08.73386545  ; 4.647
326 ;* kap Ser                ;15 48 44.37676 +18 08 29.6342;237.18490319 +18.14156506  ; 4.09 
327 ;* iot Hya                ;09 39 51.36145 -01 08 34.1135;144.96400602 -01.14280930  ; 3.91 
328 ;* 109 Her                ;18 23 41.88976 +21 46 11.1066;275.92454066 +21.76975183  ; 3.84 
329 ;* o Ori                  ;05 21 45.747 -00 22 56.87    ;080.440612 -00.382464      ; 4.74 
330 ;* zet Sge                ;19 48 58.65978 +19 08 31.3516;297.24441574 +19.14204210  ; 5.00 
331 ;* pi.01 Ori              ;04 54 53.72877 +10 09 02.9952;073.72386986 +10.15083201  ; 4.656
332 ;* b01 Aqr                ;23 22 58.22606 -20 06 02.0963;350.74260858 -20.10058231  ; 3.98 
333 ;* pi.03 Ori              ;04 49 50.41091 +06 57 40.5883;072.46004544 +06.96127453  ; 3.190
334 ;* del03 Tau A            ;04 25 29.388 +17 55 40.47    ;066.372450 +17.927908      ; 4.25 
335 ;* 17 Mon                 ;06 47 19.83031 +08 02 14.1154;101.83262629 +08.03725428  ; 4.77 
336 ;HD 143454                ;15 59 30.16116 +25 55 12.5937;239.87567149 +25.92016492  ; 2.00 
337 ;* eta Oph                ;17 10 22.68689 -15 43 29.6639;257.59452871 -15.72490664  ; 2.42 
338 ;* 104 Her                ;18 11 54.15684 +31 24 19.2570;272.97565348 +31.40534918  ; 4.97 
339 ;* 68 Oph                 ;18 01 45.19884 +01 18 18.2775;270.43832849 +01.30507709  ; 4.439
340 ;* iot PsA                ;21 44 56.80944 -33 01 32.8180;326.23670599 -33.02578278  ; 4.34 
341 ;Cl Collinder 399         ;19 25 24.0 +20 11 00         ;291.3500 +20.1833          ; 3.6  
342 ;* mu. Eri                ;04 45 30.15038 -03 15 16.7765;071.37562660 -03.25466015  ; 4.00 
343 ;* lam Aql                ;19 06 14.93898 -04 52 57.2007;286.56224574 -04.88255574  ; 3.43 
344 ;* tet02 Tau              ;04 28 39.74070 +15 52 15.1745;067.16558623 +15.87088182  ; 3.410
345 ;* mu. Hya                ;10 26 05.42630 -16 50 10.6429;156.52260958 -16.83628968  ; 3.81 
346 ;* b03 Aqr                ;23 33 16.62300 -20 54 52.2155;353.31926250 -20.91450430  ; 4.709
347 ;NAME * f Pup AB          ;07 37 22.108 -34 58 06.68    ;114.342117 -34.968522      ; 4.540
348 ;NGC 6633                 ;18 27 31.2 +06 34 12         ;276.8800 +06.5700          ; 4.6  
349 ;* w Pup                  ;08 21 23.02665 -33 03 15.7147;125.34594439 -33.05436519  ; 4.80 
350 ;* ksi Sco                ;16 04 22.191 -11 22 22.60    ;241.092462 -11.372944      ; 4.17 
351 ;* iot Aur                ;04 56 59.62109 +33 09 57.9585;074.24842121 +33.16609957  ; 2.69 
352 ;* u Her                  ;17 17 19.56756 +33 06 00.3631;259.33153152 +33.10010086  ; 4.80 
353 ;* tau06 Eri              ;03 46 50.88819 -23 14 59.0046;056.71203413 -23.24972349  ; 4.20 
354 ;* v Eri                  ;03 30 37.05823 -05 04 30.5239;052.65440929 -05.07514552  ; 4.727
355 ;* eps Cyg                ;20 46 12.68236 +33 58 12.9250;311.55284318 +33.97025693  ; 2.480
356 ;IC 4756                  ;18 38 31.2 +05 29 24         ;279.6300 +05.4900          ; 4.6  
357 ;* psi Boo                ;15 04 26.74234 +26 56 51.5399;226.11142641 +26.94764996  ; 4.55 
358 ;* alf Ori                ;05 55 10.30536 +07 24 25.4304;088.79293899 +07.40706400  ; 0.42 
359 ;* g Cen                  ;13 49 26.72175 -34 27 02.7929;207.36134063 -34.45077580  ; 4.19 
360 ;* 119 Tau                ;05 32 12.75251 +18 35 39.2436;083.05313545 +18.59423433  ; 4.33 
361 ;* nu.02 Sgr              ;18 55 07.14098 -22 40 16.8185;283.77975408 -22.67133847  ; 4.98 
362 ;* chi Leo                ;11 05 01.02754 +07 20 09.6235;166.25428143 +07.33600653  ; 4.63 
363 ;* b02 Aqr                ;23 26 02.78566 -20 38 31.2630;351.51160692 -20.64201751  ; 4.39 
364 ;* E Hya                  ;14 50 17.30909 -27 57 37.3321;222.57212122 -27.96037002  ; 4.41 
365 ;* rho Cet                ;02 25 57.00560 -12 17 25.7104;036.48752334 -12.29047511  ; 4.869
366 ;* iot Tri                ;02 12 22.28003 +30 18 11.0430;033.09283344 +30.30306751  ; 4.952
367 ;* alf For A              ;03 12 04.294 -28 59 20.42    ;048.017892 -28.989006      ; 3.98 
368 ;* omi Pup                ;07 48 05.16839 -25 56 13.8123;117.02153497 -25.93717008  ; 4.49 
369 ;* gam Aqr                ;22 21 39.37542 -01 23 14.4031;335.41406425 -01.38733418  ; 3.847
370 ;* ksi Aql                ;19 54 14.88184 +08 27 41.2299;298.56200766 +08.46145276  ; 4.722
371 ;* psi01 Lup              ;15 39 45.97886 -34 24 42.9065;234.94157859 -34.41191847  ; 4.668
372 ;* bet Del                ;20 37 32.94130 +14 35 42.3195;309.38725542 +14.59508875  ; 3.63 
373 ;HR 1952                  ;05 40 50.71498 -01 07 43.6366;085.21131240 -01.12878793  ; 4.95 
374 ;* m Pup                  ;07 38 18.04541 -25 21 53.3017;114.57518921 -25.36480601  ; 4.70 
375 ;V* HR Del                ;20 42 20.34627 +19 09 39.3118;310.58477611 +19.16091994  ; 3.70 
376 ;* 30 Vul                 ;20 44 52.50440 +25 16 14.2162;311.21876832 +25.27061561  ; 4.91 
377 ;* mu. Ser                ;15 49 37.20696 -03 25 48.7358;237.40502902 -03.43020438  ; 3.53 
378 ;* o Tau                  ;05 27 38.08406 +21 56 13.0738;081.90868360 +21.93696495  ; 4.865
379 ;* 51 Gem                 ;07 13 22.27609 +16 09 32.2735;108.34281704 +16.15896486  ; 5.00 
380 ;* ksi CrB                ;16 22 05.82391 +30 53 31.1837;245.52426628 +30.89199548  ; 4.857
381 ;* bet Aql                ;19 55 18.79256 +06 24 24.3425;298.82830234 +06.40676180  ; 3.710
382 ;NAME CMA Dwarf Galaxy    ;07 12 36.0 -27 40 00         ;108.1500 -27.6667          ;-0.1  
383 ;* iot Cap                ;21 22 14.79565 -16 50 04.3598;320.56164853 -16.83454438  ; 4.27 
384 ;* 15 Mon A               ;06 40 58.656 +09 53 44.71    ;100.244400 +09.895753      ; 4.683
385 ;* bet Her                ;16 30 13.19955 +21 29 22.6008;247.55499811 +21.48961132  ; 2.77 
386 ;* bet Vir                ;11 50 41.71824 +01 45 52.9910;177.67382599 +01.76471973  ; 3.60 
387 ;* lam Ori A              ;05 35 08.277 +09 56 02.96    ;083.784487 +09.934156      ; 3.47 
388 ;HD 183912                ;19 30 43.286 +27 57 34.84    ;292.680358 +27.959678      ; 3.08 
389 ;* d Eri                  ;04 24 02.21725 -34 01 00.6542;066.00923853 -34.01684839  ; 3.96 
390 ;* tet Aql                ;20 11 18.266 -00 49 17.31    ;302.826108 -00.821475      ; 3.22 
391 ;* tet01 Ser              ;18 56 13.18150 +04 12 12.9124;284.05492290 +04.20358679  ; 4.62 
392 ;* bet Psc                ;23 03 52.61349 +03 49 12.1662;345.96922289 +03.82004617  ; 4.52 
393 ;* tet Oph                ;17 22 00.57935 -24 59 58.3670;260.50241395 -24.99954638  ; 3.26 
394 ;* 18 Mon                 ;06 47 51.64956 +02 24 43.7737;101.96520651 +02.41215935  ; 4.47 
395 ;* del Col                ;06 22 06.82831 -33 26 11.0323;095.52845131 -33.43639785  ; 3.85 
396 ;* 139 Tau                ;05 57 59.65632 +25 57 14.0799;089.49856800 +25.95391107  ; 4.82 
397 ;* 6 CMi                  ;07 29 47.78173 +12 00 23.6347;112.44909052 +12.00656520  ; 4.547
398 ;* 19 Pup                 ;08 11 16.30585 -12 55 37.1952;122.81794105 -12.92699866  ; 4.72 
399 ;* tet Leo                ;11 14 14.40446 +15 25 46.4541;168.56001859 +15.42957058  ; 3.35 
400 ;* h Cen                  ;13 53 12.53953 -31 55 39.3947;208.30224803 -31.92760963  ; 4.73 
401 ;* g Gem                  ;07 46 07.44709 +18 30 36.1545;116.53102956 +18.51004292  ; 4.87 
402 ;* 15 Ori                 ;05 09 41.95770 +15 35 50.0410;077.42482376 +15.59723360  ; 4.82 
403 ;CD-33 16270A             ;22 52 31.532 -32 52 32.00    ;343.131383 -32.875556      ; 4.51 
404 ;* c02 Aqr                ;23 09 26.79681 -21 10 20.6812;347.36165339 -21.17241145  ; 3.64 
405 ;* 2 Sex                  ;09 38 27.28962 +04 38 57.4461;144.61370676 +04.64929058  ; 4.68 
406 ;* lam Eri                ;05 09 08.78315 -08 45 14.6908;077.28659645 -08.75408079  ; 4.27 
407 ;* b Cap                  ;21 28 43.40070 -21 48 25.8504;322.18083625 -21.80718067  ; 4.50 
408 ;* mu. PsA                ;22 08 23.00806 -32 59 18.4884;332.09586690 -32.98846901  ; 4.50 
409 ;* mu. Lep                ;05 12 55.90168 -16 12 19.6885;078.23292366 -16.20546904  ; 3.29 
410 ;* rho Oph                ;16 25 35.11766 -23 26 49.8150;246.39632359 -23.44717083  ; 4.63 
411 ;* alf Hya                ;09 27 35.24270 -08 39 30.9583;141.89684460 -08.65859953  ; 1.97 
412 ;* k Aqr                  ;20 47 44.23898 -05 01 39.7220;311.93432910 -05.02770055  ; 4.44 
413 ;* ups01 Eri              ;04 33 30.55236 -29 45 59.3725;068.37730151 -29.76649236  ; 4.51 
414 ;* sig Sco                ;16 21 11.31571 -25 35 34.0515;245.29714880 -25.59279208  ; 2.89 
415 ;* sig Hya                ;08 38 45.43747 +03 20 29.1701;129.68932277 +03.34143614  ; 4.43 
416 ;* 23 Ori                 ;05 22 50.00100 +03 32 40.0247;080.70833749 +03.54445130  ; 5.00 
417 ;* pi.05 Ori              ;04 54 15.09604 +02 26 26.4231;073.56290018 +02.44067308  ; 3.73 
418 ;* alf Ant                ;10 27 09.10037 -31 04 03.9961;156.78791820 -31.06777671  ; 4.25 
419 ;* gam Ser                ;15 56 27.18269 +15 39 41.8206;239.11326123 +15.66161682  ; 3.84 
420 ;* bet01 Cap              ;20 21 00.67326 -14 46 52.9791;305.25280525 -14.78138307  ; 3.08 
421 ;* nu.03 CMa A            ;06 37 53.421 -18 14 14.91    ;099.472588 -18.237475      ; 4.43 
422 ;* ome CMa                ;07 14 48.65387 -26 46 21.6097;108.70272445 -26.77266936  ; 3.82 
423 ;* gam Aql                ;19 46 15.58029 +10 36 47.7408;296.56491787 +10.61326133  ; 2.72 
424 ;* nu. Eri                ;04 36 19.14144 -03 21 08.8567;069.07975601 -03.35246019  ; 3.920
425 ;* eta Lep                ;05 56 24.29300 -14 10 03.7189;089.10122085 -14.16769969  ; 3.72 
426 ;HR 6628                  ;17 49 10.47716 -31 42 11.5438;267.29365485 -31.70320662  ; 4.806
427 ;[SC93] 126               ;06 17 12.0 +09 53 00         ;094.3000 +09.8833          ; 4.64 
428 ;* I Hya                  ;09 41 17.00732 -23 35 29.4534;145.32086383 -23.59151484  ; 4.76 
429 ;* nu. Peg                ;22 05 40.75170 +05 03 30.7201;331.41979874 +05.05853337  ; 4.84 
430 ;* 136 Tau                ;05 53 19.64606 +27 36 44.1378;088.33185857 +27.61226051  ; 4.557
431 ;* bet01 Sco              ;16 05 26.23198 -19 48 19.6300;241.35929993 -19.80545278  ; 2.62 
432 ;* del CrB                ;15 49 35.64682 +26 04 06.2065;237.39852840 +26.06839070  ; 4.63 
433 ;* eps Ari B              ;02 59 12.73 +21 20 25.5      ;044.80304 +21.34042        ; 4.63 
434 ;* gam Ari                ;01 53 31.81479 +19 17 37.8790;028.38256161 +19.29385527  ; 3.88 
435 ;Cl Melotte 186           ;18 01 06.0 +02 54 00         ;270.2750 +02.9000          ; 3.0  
436 ;* tau02 Hya              ;09 31 58.92729 -01 11 04.7899;142.99553036 -01.18466385  ; 4.555
437 ;* ksi UMa A              ;11 18 10.902 +31 31 44.98    ;169.545425 +31.529161      ; 4.264
438 ;* d Sco                  ;16 18 17.90017 -28 36 50.4768;244.57458402 -28.61402133  ; 4.792
439 ;* bet For                ;02 49 05.41885 -32 24 21.2319;042.27257855 -32.40589774  ; 4.46 
440 ;* f Sgr                  ;19 46 21.73912 -19 45 40.0132;296.59057965 -19.76111479  ; 4.887
441 ;* eps Vir                ;13 02 10.59785 +10 57 32.9415;195.54415770 +10.95915040  ; 2.79 
442 ;* 126 Tau                ;05 41 17.71768 +16 32 02.9253;085.32382365 +16.53414592  ; 4.832
443 ;* 46 LMi                 ;10 53 18.70487 +34 12 53.5375;163.32793697 +34.21487153  ; 3.83 
444 ;* 33 Psc                 ;00 05 20.14193 -05 42 27.4279;001.33392469 -05.70761886  ; 4.61 
445 ;V* T Cyg                 ;20 47 10.75213 +34 22 26.8426;311.79480052 +34.37412294  ; 4.930
446 ;* mu. Aqr                ;20 52 39.23277 -08 58 59.9499;313.16346986 -08.98331942  ; 4.723
447 ;NOVA Sgr 2002 c          ;19 01 09.38 -22 00 05.9      ;285.28908 -22.00164        ; 5.0  
448 ;* lam Gem A              ;07 18 05.579 +16 32 25.39    ;109.523246 +16.540386      ; 3.559
449 ;* b Oph                  ;17 26 22.21749 -24 10 31.1190;261.59257287 -24.17531082  ; 4.166
450 ;NGC 2244                 ;06 31 55.0 +04 56 30         ;097.9792 +04.9417          ; 4.8  
451 ;* c Sgr                  ;20 02 39.48097 -27 42 35.4442;300.66450403 -27.70984562  ; 4.58 
452 ;* zet Boo B              ;14 41 08.908 +13 43 42.30    ;220.287117 +13.728417      ; 4.51 
453 ;* gam Gem                ;06 37 42.71050 +16 23 57.4095;099.42796043 +16.39928043  ; 1.92 
454 ;* f Tau                  ;03 30 52.37792 +12 56 12.0365;052.71824131 +12.93667680  ; 4.10 
455 ;* 2 Cyg                  ;19 24 07.57894 +29 37 16.8197;291.03157891 +29.62133880  ; 4.976
456 ;* ome Her                ;16 25 24.95425 +14 01 59.7711;246.35397604 +14.03326975  ; 4.58 
457 ;* lam Oph A              ;16 30 54.828 +01 59 02.02    ;247.728450 +01.983894      ; 4.15 
458 ;* omi Psc                ;01 45 23.63185 +09 09 27.8530;026.34846602 +09.15773693  ; 4.26 
459 ;* iot Leo A              ;11 23 55.459 +10 31 46.36    ;170.981079 +10.529544      ; 4.06 
460 ;* zet Ari                ;03 14 54.09731 +21 02 40.0103;048.72540545 +21.04444730  ; 4.880
461 ;* gam CrB                ;15 42 44.56551 +26 17 44.2847;235.68568964 +26.29563463  ; 3.84 
462 ;* 23 Tau                 ;03 46 19.57384 +23 56 54.0812;056.58155768 +23.94835590  ; 4.18 
463 ;* eps Ser                ;15 50 48.96622 +04 28 39.8311;237.70402593 +04.47773087  ; 3.713
464 ;* ksi02 Sgr              ;18 57 43.79908 -21 06 23.9613;284.43249618 -21.10665591  ; 3.51 
465 ;* 29 Vul                 ;20 38 31.33888 +21 12 04.2467;309.63057866 +21.20117963  ; 4.82 
466 ;* 27 Mon                 ;07 59 44.15308 -03 40 46.5065;119.93397115 -03.67958515  ; 4.942
467 ;HR 3131                  ;07 59 52.05117 -18 23 57.2292;119.96687989 -18.39923032  ; 4.61 
468 ;* lam Pyx                ;09 23 12.25099 -28 50 01.9420;140.80104579 -28.83387277  ; 4.68 
469 ;* m Hya                  ;14 46 00.07998 -25 26 35.4355;221.50033327 -25.44317653  ; 4.94 
470 ;* gam Oph                ;17 47 53.55973 +02 42 26.2000;266.97316555 +02.70727778  ; 3.75 
471 ;* ksi01 Cet              ;02 12 59.99513 +08 50 48.1584;033.24997971 +08.84671067  ; 4.35 
472 ;* phi Leo                ;11 16 39.69960 -03 39 05.7770;169.16541498 -03.65160473  ; 4.467
473 ;* 31 Vul                 ;20 52 07.67601 +27 05 49.1173;313.03198339 +27.09697702  ; 4.576
474 ;* bet CMi                ;07 27 09.04174 +08 17 21.5368;111.78767391 +08.28931576  ; 2.89 
475 ;* rho Sco                ;15 56 53.07624 -29 12 50.6612;239.22115099 -29.21407255  ; 3.86 
476 ;* tet CrB                ;15 32 55.78214 +31 21 32.8762;233.23242560 +31.35913227  ; 4.13 
477 ;* rho Tau                ;04 33 50.91753 +14 50 39.9232;068.46215639 +14.84442312  ; 4.65 
478 ;* ksi02 CMa              ;06 35 03.38869 -22 57 53.2375;098.76411952 -22.96478820  ; 4.50 
479 ;* nu. Tau                ;04 03 09.37966 +05 59 21.4792;060.78908193 +05.98929977  ; 3.898
480 ;* del Crv                ;12 29 51.85517 -16 30 55.5525;187.46606319 -16.51543126  ; 2.94 
481 ;* o Per                  ;03 42 22.64555 +33 57 54.0893;055.59435647 +33.96502482  ; 4.975
482 ;* rho Pup                ;08 07 32.64882 -24 18 15.5679;121.88603676 -24.30432443  ; 2.81 
483 ;* zet02 Aqr              ;22 28 49.807 -00 01 12.20    ;337.207529 -00.020056      ; 4.34 
484 ;* ups Ori                ;05 31 55.86019 -07 18 05.5371;082.98275078 -07.30153810  ; 4.63 
485 ;* 58 Oph                 ;17 43 25.79370 -21 40 59.4980;265.85747375 -21.68319388  ; 4.873
486 ;CCDM J17591-3015AB       ;17 59 05.28176 -30 15 10.8789;269.77200731 -30.25302192  ; 4.98 
487 ;* eta Boo                ;13 54 41.07892 +18 23 51.7946;208.67116217 +18.39772072  ; 2.680
488 ;* 20 Boo                 ;14 19 45.23479 +16 18 25.0136;214.93847831 +16.30694823  ; 4.850
489 ;* tau Lib                ;15 38 39.36950 -29 46 39.8956;234.66403957 -29.77774878  ; 3.644
490 ;* eps Cet                ;02 39 33.82853 -11 52 19.7132;039.89095219 -11.87214254  ; 4.87 
491 ;* tet Psc                ;23 27 58.09529 +06 22 44.3720;351.99206370 +06.37899222  ; 4.30 
492 ;* kap01 Tau              ;04 25 22.16505 +22 17 37.9375;066.34235439 +22.29387154  ; 4.210
493 ;NGC 1980                 ;05 35 24.0 -05 54 54         ;083.8500 -05.9150          ; 2.5  
494 ;* 47 Tau                 ;04 13 56.38482 +09 15 49.7729;063.48493673 +09.26382581  ; 4.89 
495 ;* tau02 Eri              ;02 51 02.32186 -21 00 14.4654;042.75967442 -21.00401818  ; 4.77 
496 ;* del Scl                ;23 48 55.54658 -28 07 48.9745;357.23144407 -28.13027069  ; 4.57 
497 ;* 11 Sgr                 ;18 11 43.33295 -23 42 04.4517;272.93055394 -23.70123659  ; 4.98 
498 ;* nu. Psc                ;01 41 25.89391 +05 29 15.4062;025.35789129 +05.48761284  ; 4.44 
499 ;* lam Lep                ;05 19 34.52405 -13 10 36.4408;079.89385020 -13.17678910  ; 4.29 
500 ;* iot Tau                ;05 03 05.74725 +21 35 23.8627;075.77394687 +21.58996187  ; 4.626
501 ;LGGS J013348.28+305208.8 ;01 33 48.28 +30 52 08.8      ;023.45117 +30.86911        ; 0.64 
502 ;* ksi Psc                ;01 53 33.35074 +03 11 15.1498;028.38896143 +03.18754161  ; 4.621
503 ;* sig Vir                ;13 17 36.28327 +05 28 11.5221;199.40118028 +05.46986726  ; 4.80 
504 ;* 27 CMa                 ;07 14 15.21192 -26 21 09.0312;108.56338299 -26.35250867  ; 4.65 
505 ;* alf Gem A              ;07 34 35.863 +31 53 17.79    ;113.649429 +31.888275      ; 1.93 
506 ;* ksi Tau                ;03 27 10.15071 +09 43 57.6343;051.79229464 +09.73267621  ; 3.75 
507 ;* b Sgr                  ;19 56 56.83165 -27 10 11.6409;299.23679853 -27.16990026  ; 4.544
508 ;* l Pup                  ;07 43 48.46872 -28 57 17.3720;115.95195301 -28.95482556  ; 3.93 
509 ;* 17 Tau                 ;03 44 52.53688 +24 06 48.0112;056.21890368 +24.11333645  ; 3.70 
