 N  ;       identifier        ;  coord1 (ICRS,J2000/2000)   ; coord2 (ICRS,J2000/2000)  ;Mag V 
60  ;* 30 Gem                 ;06 43 59.29265 +13 13 40.8710;100.99705272 +13.22801972  ; 4.49 
61  ;* alf And                ;00 08 23.25988 +29 05 25.5520;002.09691619 +29.09043112  ; 2.06 
62  ;* gam Her A              ;16 21 55.242 +19 09 10.88    ;245.480175 +19.153022      ; 3.726
63  ;HR 6196                  ;16 41 34.38333 -17 44 31.7985;250.39326390 -17.74216624  ; 4.930
64  ;* 20 Tau                 ;03 45 49.60656 +24 22 03.8864;056.45669401 +24.36774621  ; 3.87 
65  ;* tau Peg                ;23 20 38.24188 +23 44 25.2098;350.15934117 +23.74033605  ; 4.592
66  ;* sig Ser                ;16 22 04.34753 +01 01 44.5534;245.51811472 +01.02904261  ; 4.820
67  ;* iot CMa                ;06 56 08.22413 -17 03 15.2675;104.03426719 -17.05424097  ; 4.385
68  ;* alf Lep                ;05 32 43.81612 -17 49 20.2414;083.18256716 -17.82228927  ; 2.57 
69  ;* zet Sct                ;18 23 39.58309 -08 56 03.7885;275.91492955 -08.93438570  ; 4.673
70  ;* zet Pyx                ;08 39 42.47410 -29 33 39.8989;129.92697543 -29.56108303  ; 4.886
71  ;* eps Ori                ;05 36 12.81335 -01 12 06.9089;084.05338894 -01.20191914  ; 1.69 
72  ;* alf Cnc                ;08 58 29.22272 +11 51 27.7212;134.62176132 +11.85770033  ; 4.259
73  ;* 12 Com                 ;12 22 30.31177 +25 50 46.1855;185.62629903 +25.84616263  ; 4.81 
74  ;* alf CMa                ;06 45 08.91728 -16 42 58.0171;101.28715533 -16.71611586  ;-1.46 
75  ;* eps Crv                ;12 10 07.48058 -22 37 11.1620;182.53116909 -22.61976722  ; 2.98 
76  ;* omi Per A              ;03 44 19.133 +32 17 17.67    ;056.079721 +32.288242      ; 3.91 
77  ;* zet Aqr B              ;22 28 49.759 -00 01 13.96    ;337.207329 -00.020544      ; 4.49 
78  ;* ksi02 Cet              ;02 28 09.54266 +08 27 36.2007;037.03976108 +08.46005575  ; 4.30 
79  ;* 37 Com                 ;13 00 16.47021 +30 47 06.0712;195.06862589 +30.78501976  ; 4.88 
80  ;* zet Cnc                ;08 12 12.71 +17 38 53.3      ;123.05296 +17.64814        ; 4.67 
