Date__(UT)__HR:MN, , ,R.A._(ICRF/J2000.0), DEC_(ICRF/J2000.0),
 2016-Apr-18 00:00, , , 26.16878, 10.82320,
 2016-Apr-19 00:00, , , 27.09886, 11.17053,
 2016-Apr-20 00:00, , , 28.03060, 11.51478,
 2016-Apr-21 00:00, , , 28.96408, 11.85587,
 2016-Apr-22 00:00, , , 29.89936, 12.19370,
 2016-Apr-23 00:00, , , 30.83651, 12.52818,
 2016-Apr-24 00:00, , , 31.77558, 12.85923,
 2016-Apr-25 00:00, , , 32.71665, 13.18676,
 2016-Apr-26 00:00, , , 33.65976, 13.51068,
 2016-Apr-27 00:00, , , 34.60498, 13.83090,
 2016-Apr-28 00:00, , , 35.55235, 14.14734,
 2016-Apr-29 00:00, , , 36.50193, 14.45992,
 2016-Apr-30 00:00, , , 37.45375, 14.76854,
 2016-May-01 00:00, , , 38.40785, 15.07311,
 2016-May-02 00:00, , , 39.36428, 15.37356,
 2016-May-03 00:00, , , 40.32304, 15.66979,
 2016-May-04 00:00, , , 41.28417, 15.96171,
 2016-May-05 00:00, , , 42.24766, 16.24924,
 2016-May-06 00:00, , , 43.21353, 16.53228,
 2016-May-07 00:00, , , 44.18176, 16.81074,
 2016-May-08 00:00, , , 45.15235, 17.08454,
 2016-May-09 00:00, , , 46.12528, 17.35359,
 2016-May-10 00:00, , , 47.10055, 17.61779,
 2016-May-11 00:00, , , 48.07813, 17.87707,
 2016-May-12 00:00, , , 49.05803, 18.13133,
 2016-May-13 00:00, , , 50.04024, 18.38050,
 2016-May-14 00:00, , , 51.02474, 18.62450,
 2016-May-15 00:00, , , 52.01154, 18.86324,
 2016-May-16 00:00, , , 53.00062, 19.09666,
 2016-May-17 00:00, , , 53.99198, 19.32467,
 2016-May-18 00:00, , , 54.98560, 19.54720,
 2016-May-19 00:00, , , 55.98148, 19.76418,
 2016-May-20 00:00, , , 56.97960, 19.97555,
 2016-May-21 00:00, , , 57.97994, 20.18123,
 2016-May-22 00:00, , , 58.98250, 20.38115,
 2016-May-23 00:00, , , 59.98723, 20.57525,
 2016-May-24 00:00, , , 60.99414, 20.76346,
 2016-May-25 00:00, , , 62.00318, 20.94573,
 2016-May-26 00:00, , , 63.01432, 21.12199,
 2016-May-27 00:00, , , 64.02754, 21.29219,
 2016-May-28 00:00, , , 65.04278, 21.45626,
 2016-May-29 00:00, , , 66.06002, 21.61414,
 2016-May-30 00:00, , , 67.07919, 21.76580,
 2016-May-31 00:00, , , 68.10024, 21.91116,
 2016-Jun-01 00:00, , , 69.12310, 22.05018,
 2016-Jun-02 00:00, , , 70.14770, 22.18281,
 2016-Jun-03 00:00, , , 71.17395, 22.30900,
 2016-Jun-04 00:00, , , 72.20176, 22.42870,
 2016-Jun-05 00:00, , , 73.23104, 22.54187,
 2016-Jun-06 00:00, , , 74.26168, 22.64847,
 2016-Jun-07 00:00, , , 75.29358, 22.74845,
 2016-Jun-08 00:00, , , 76.32664, 22.84177,
 2016-Jun-09 00:00, , , 77.36075, 22.92840,
 2016-Jun-10 00:00, , , 78.39583, 23.00831,
 2016-Jun-11 00:00, , , 79.43177, 23.08147,
 2016-Jun-12 00:00, , , 80.46847, 23.14785,
 2016-Jun-13 00:00, , , 81.50586, 23.20742,
 2016-Jun-14 00:00, , , 82.54383, 23.26017,
 2016-Jun-15 00:00, , , 83.58229, 23.30608,
 2016-Jun-16 00:00, , , 84.62116, 23.34513,
 2016-Jun-17 00:00, , , 85.66034, 23.37732,
 2016-Jun-18 00:00, , , 86.69976, 23.40262,
 2016-Jun-19 00:00, , , 87.73932, 23.42104,
 2016-Jun-20 00:00, , , 88.77894, 23.43257,
 2016-Jun-21 00:00, , , 89.81854, 23.43721,
 2016-Jun-22 00:00, , , 90.85803, 23.43496,
 2016-Jun-23 00:00, , , 91.89733, 23.42582,
 2016-Jun-24 00:00, , , 92.93637, 23.40980,
 2016-Jun-25 00:00, , , 93.97505, 23.38691,
 2016-Jun-26 00:00, , , 95.01330, 23.35716,
 2016-Jun-27 00:00, , , 96.05104, 23.32056,
 2016-Jun-28 00:00, , , 97.08816, 23.27714,
 2016-Jun-29 00:00, , , 98.12459, 23.22691,
 2016-Jun-30 00:00, , , 99.16022, 23.16990,
 2016-Jul-01 00:00, , ,100.19495, 23.10612,
 2016-Jul-02 00:00, , ,101.22869, 23.03561,
 2016-Jul-03 00:00, , ,102.26132, 22.95840,
 2016-Jul-04 00:00, , ,103.29273, 22.87453,
 2016-Jul-05 00:00, , ,104.32283, 22.78401,
 2016-Jul-06 00:00, , ,105.35150, 22.68691,
 2016-Jul-07 00:00, , ,106.37865, 22.58324,
 2016-Jul-08 00:00, , ,107.40418, 22.47307,
 2016-Jul-09 00:00, , ,108.42801, 22.35643,
 2016-Jul-10 00:00, , ,109.45005, 22.23336,
 2016-Jul-11 00:00, , ,110.47023, 22.10393,
 2016-Jul-12 00:00, , ,111.48847, 21.96817,
 2016-Jul-13 00:00, , ,112.50472, 21.82614,
 2016-Jul-14 00:00, , ,113.51891, 21.67790,
 2016-Jul-15 00:00, , ,114.53099, 21.52350,
 2016-Jul-16 00:00, , ,115.54091, 21.36300,
 2016-Jul-17 00:00, , ,116.54862, 21.19646,
 2016-Jul-18 00:00, , ,117.55410, 21.02393,
 2016-Jul-19 00:00, , ,118.55730, 20.84549,
 2016-Jul-20 00:00, , ,119.55820, 20.66119,
 2016-Jul-21 00:00, , ,120.55678, 20.47110,
 2016-Jul-22 00:00, , ,121.55302, 20.27529,
 2016-Jul-23 00:00, , ,122.54691, 20.07381,
 2016-Jul-24 00:00, , ,123.53844, 19.86675,
 2016-Jul-25 00:00, , ,124.52759, 19.65416,
 2016-Jul-26 00:00, , ,125.51436, 19.43612,
 2016-Jul-27 00:00, , ,126.49873, 19.21270,
 2016-Jul-28 00:00, , ,127.48069, 18.98398,
 2016-Jul-29 00:00, , ,128.46023, 18.75004,
 2016-Jul-30 00:00, , ,129.43733, 18.51094,
 2016-Jul-31 00:00, , ,130.41196, 18.26678,
 2016-Aug-01 00:00, , ,131.38412, 18.01763,
 2016-Aug-02 00:00, , ,132.35378, 17.76358,
 2016-Aug-03 00:00, , ,133.32094, 17.50471,
 2016-Aug-04 00:00, , ,134.28557, 17.24110,
 2016-Aug-05 00:00, , ,135.24767, 16.97285,
 2016-Aug-06 00:00, , ,136.20724, 16.70003,
 2016-Aug-07 00:00, , ,137.16428, 16.42272,
 2016-Aug-08 00:00, , ,138.11880, 16.14103,
 2016-Aug-09 00:00, , ,139.07082, 15.85503,
 2016-Aug-10 00:00, , ,140.02035, 15.56480,
 2016-Aug-11 00:00, , ,140.96742, 15.27044,
 2016-Aug-12 00:00, , ,141.91206, 14.97203,
 2016-Aug-13 00:00, , ,142.85430, 14.66966,
